,,,,,,,,,
NBA Season,Team Season,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB
2001?02,2001?02,Eastern,2nd,Central,1st,50,32,0.61,?
2002?03,2002?03,Eastern,1st,Central,1st,50,32,0.61,?
2003?04,2003?04,Eastern,3rd,Central,2nd,54,28,0.659,7
2004?05,2004?05,Eastern,2nd,Central,1st,54,28,0.659,?
2005?06,2005?06,Eastern,1st,Central,1st,64,18,0.78,?
2006?07,2006?07,Eastern,1st,Central,1st,53,29,0.646,?
2007?08,2007?08,Eastern,2nd,Central,1st,59,23,0.72,?
2008?09,2008?09,Eastern,8th,Central,3rd,39,43,0.476,27
2009?10,2009?10,Eastern,12th,Central,5th,27,55,0.329,34
2010?11,2010?11,Eastern,11th,Central,4th,30,52,0.366,32
2011?12,2011?12,Eastern,10th,Central,4th,25,41,0.379,25
2012?13,2012?13,Eastern,11th,Central,4th,29,53,0.354,20.5
2013?14,2013?14,Eastern,11th,Central,4th,29,53,0.354,27
2014?15,2014?15,Eastern,12th,Central,5th,32,50,0.39,21
2015?16,2015?16,Eastern,8th,Central,3rd,44,38,0.537,13
